elapsed_s,FRET_mA,FRET_V,DAMPER_mA,DAMPER_V,PICK_mA,PICK_V
6.409,2.50,10.10,686.25,0.00,0.00,1.32
6.430,-1.25,9.48,815.00,0.79,-1.25,1.34
6.450,0.00,10.15,16.25,0.00,-1.25,1.35
6.472,0.00,9.57,867.50,0.00,0.00,1.35
6.500,1.25,10.15,871.25,0.00,1.25,1.34
6.523,0.00,9.46,673.75,0.00,0.00,1.33
6.542,0.00,11.74,690.00,0.00,-1.25,1.33
6.562,0.00,9.89,873.75,0.00,-1.25,1.33
6.583,0.00,10.04,707.50,0.28,0.00,1.31
6.610,1.25,9.63,737.50,0.00,0.00,1.39
6.632,6.25,10.07,531.25,0.00,-1.25,1.36
6.651,0.00,9.76,870.00,0.00,-2.50,1.37
6.671,0.00,11.49,526.25,0.06,0.00,1.38
6.690,0.00,9.92,765.00,0.00,1.25,1.31
6.710,2.50,9.48,678.75,0.00,0.00,1.40
6.731,5.00,10.03,787.50,0.00,-1.25,1.37
6.756,1.25,9.41,267.50,0.00,-1.25,1.35
6.779,0.00,11.00,856.25,0.00,0.00,1.35
6.798,1.25,9.54,672.50,0.00,0.00,1.34
6.821,0.00,10.30,486.25,0.12,0.00,1.35
6.840,-1.25,9.65,776.25,0.00,0.00,1.35
6.860,0.00,11.72,665.00,0.00,0.00,1.35
6.879,0.00,10.06,716.25,0.00,1.25,1.36
6.899,0.00,9.37,455.00,0.00,0.00,1.36
6.918,1.25,10.41,886.25,0.00,1.25,1.35
6.939,0.00,9.53,722.50,0.00,-1.25,1.35
6.958,0.00,10.16,-121.25,0.00,0.00,1.33
6.989,2.50,9.64,682.50,0.00,0.00,1.39
7.014,0.00,9.89,765.00,0.00,-1.25,1.37
7.035,1.25,9.49,635.00,1.18,-1.25,1.37
7.056,46.25,10.03,610.00,0.00,0.00,1.37
7.077,-1.25,9.55,858.75,0.00,1.25,1.37
7.096,1.25,10.25,506.25,0.00,0.00,1.34
7.120,0.00,9.54,733.75,0.00,-1.25,1.34
7.142,1.25,10.56,13.75,0.00,-1.25,1.34
7.161,1.25,9.82,875.00,0.00,-1.25,1.34
7.181,1.25,10.03,501.25,0.00,0.00,1.34
